entry_latex
\hangindent=5ex Science Director and Board Member: GLORIA (Global Observation Research Initiative in Alpine Environments) Great Basin & 2018 - present
\hangindent=5ex Volunteer: Global Observation Research Initiative in Alpine Environments (GLORIA) Great Basin & 2017 - present
"\hangindent=5ex Selection committee member and mentor, GLORIA Great Basin Peak Opportunity Fellowship & 2023 -present"
"\hangindent=5ex Virtual Science Leader, Ocean Discovery Institute & 2024 -present"
"\hangindent=5ex Exhibitor, Reach For the Stars! Be a Star! STEM and Resource Fair for K-12 Students with Disabilities, Family and Friends, North Carolina State University & 2025 -2026"
"\hangindent=5ex Invited Speaker, New Hope Audubon Society Monthly Meeting, North Carolina Botanical Garden, Chapel Hill, NC. ''Species ranges in a changing world'' & 2022"
"\hangindent=5ex Invited Panelist, Community Dialogue on Asian Americans and Pacific Islanders in Ecology and Evolutionary Biology (virtual), Northeastern University Marine Science Center & 2022"
"\hangindent=5ex Invited Panelist, Forestry and Environmental Resources Leadership Board's Research Panel and Mixer, NCSU & 2022"
"\hangindent=5ex Invited Panelist, PhD Career Panel (virtual), Graduate Degree Program in Ecology, Colorado State University & 2021"
"\hangindent=5ex Exhibitor, Darwin Day, North Carolina Museum of Natural Sciences & 2019, 2021, 2022"
\hangindent=5ex Primary Atlaser (Cary SE Priority Block) and Volunteer: North Carolina Bird Atlas & 2021 - present
"\hangindent=5ex Judge, Southeast Population Ecology and Evolutionary Genetics & 2019"
"\hangindent=5ex Advisory board member: Science Ambassador Scholarship (for undergraduate women in science, technology, engineering, or math), Cards Against Humanity & 2017 - 2018"
"\hangindent=5ex Collaborated with National Park Service to recruit Navajo Nation students to assist with fieldwork in Canyon de Chelly National Monument, AZ & 2009"
"Volunteer, Putnam Elementary Science Carnival, Fort Collins, CO & 2009"
"Volunteer, Unidad T\'ecnica (environmental NGO), Managua, Nicaragua &2001"
